File,Level,Order in file,Clean Question,Tagged Elements,Full Question,Answer
"/level2/coref/rm2-1.txt.coref","2","1","Who is Christopher Robin?","['<COREF ID=""115"" REF=""70""><MARKABLE>', '</MARKABLE></COREF>']","1. Who is <COREF ID=""115"" REF=""70""><MARKABLE>Christopher Robin</MARKABLE></COREF>?",""
"/level2/coref/rm2-1.txt.coref","2","2","What did Mr. Robin do when Chris was three years old?","['<COREF ID=""117"" REF=""75""><MARKABLE>', '</MARKABLE></COREF>', '<COREF ID=""116"" REF=""70""><MARKABLE>', '</MARKABLE></COREF>']","2. What did <COREF ID=""117"" REF=""75""><MARKABLE>Mr. Robin</MARKABLE></COREF> do when <COREF ID=""116"" REF=""70""><MARKABLE>Chris</MARKABLE></COREF> was three years old?",""
"/level2/coref/rm2-1.txt.coref","2","3","When was Winnie the Pooh written?","['<COREF ID=""118"" REF=""71""><MARKABLE>', '</MARKABLE></COREF>']","3.  When was <COREF ID=""118"" REF=""71""><MARKABLE>Winnie the Pooh</MARKABLE></COREF> written?",""
"/level2/coref/rm2-1.txt.coref","2","4","Where did young Chris live?","['<COREF ID=""119"" REF=""70""><MARKABLE>', '</MARKABLE></COREF>']","4.  Where did young <COREF ID=""119"" REF=""70""><MARKABLE>Chris</MARKABLE></COREF> live?",""
"/level2/coref/rm2-1.txt.coref","2","5","Why did Chris write two books of his own?","['<COREF ID=""120"" REF=""70""><MARKABLE>', '</MARKABLE></COREF>', '<COREF ID=""122"" REF=""74""><MARKABLE>', '</MARKABLE></COREF>', '<COREF ID=""121"" REF=""70""><MARKABLE>', '</MARKABLE></COREF>']","5.  Why did <COREF ID=""120"" REF=""70""><MARKABLE>Chris</MARKABLE></COREF> write two <COREF ID=""122"" REF=""74""><MARKABLE>books</MARKABLE></COREF> of <COREF ID=""121"" REF=""70""><MARKABLE>his</MARKABLE></COREF> own?",""
"/level2/coref/rm2-10.txt.coref","2","1","Who fixes the merry-go-round?","['<COREF ID=""397"" REF=""385""><MARKABLE>', '</MARKABLE></COREF>']","1. Who fixes the <COREF ID=""397"" REF=""385""><MARKABLE>merry-go-round</MARKABLE></COREF>?",""
"/level2/coref/rm2-10.txt.coref","2","2","What is another name for a merry-go-round?","['<COREF ID=""399"" REF=""385""><MARKABLE>', '</MARKABLE></COREF>']","2. What is another name for a <COREF ID=""399"" REF=""385""><MARKABLE>merry-go-round</MARKABLE></COREF>?",""
"/level2/coref/rm2-10.txt.coref","2","3","When was the first one built in the United States?","['<COREF ID=""400"" REF=""386""><MARKABLE>', '</MARKABLE></COREF>']","3.  When was the first <COREF ID=""400"" REF=""386""><MARKABLE>one</MARKABLE></COREF> built in the United States?",""
"/level2/coref/rm2-10.txt.coref","2","4","Where was the first one built in the United States?","['<COREF ID=""401"" REF=""386""><MARKABLE>', '</MARKABLE></COREF>']","4.  Where was the first <COREF ID=""401"" REF=""386""><MARKABLE>one</MARKABLE></COREF> built in the United States?",""
"/level2/coref/rm2-10.txt.coref","2","5","Why do merry-go-rounds need to be fixed?","['<COREF ID=""398"" REF=""385""><MARKABLE>', '</MARKABLE></COREF>']","5. Why do <COREF ID=""398"" REF=""385""><MARKABLE>merry-go-rounds</MARKABLE></COREF> need to be fixed?",""
"/level2/coref/rm2-11.txt.coref","2","1","Who is the captain of the sailboat?","['<COREF ID=""455"" REF=""423""><MARKABLE>', '</MARKABLE></COREF>', '<COREF ID=""456"" REF=""426""><MARKABLE>', '</MARKABLE></COREF>']","1.  Who is the <COREF ID=""455"" REF=""423""><MARKABLE>captain</MARKABLE></COREF> of the <COREF ID=""456"" REF=""426""><MARKABLE>sailboat</MARKABLE></COREF>?",""
"/level2/coref/rm2-11.txt.coref","2","2","What is the name of the boat?","['<COREF ID=""457"" REF=""426""><MARKABLE>', '</MARKABLE></COREF>']","2.  What is the name of the <COREF ID=""457"" REF=""426""><MARKABLE>boat</MARKABLE></COREF>?",""
"/level2/coref/rm2-11.txt.coref","2","3","When did they reach the shore?","['<COREF ID=""458"" REF=""420""><MARKABLE>', '</MARKABLE></COREF>', '<COREF ID=""459"" REF=""425""><MARKABLE>', '</MARKABLE></COREF>']","3.  When did <COREF ID=""458"" REF=""420""><MARKABLE>they</MARKABLE></COREF> reach the <COREF ID=""459"" REF=""425""><MARKABLE>shore</MARKABLE></COREF>?",""
"/level2/coref/rm2-11.txt.coref","2","4","Where did the trip start?","['<COREF ID=""460"" REF=""421""><MARKABLE>', '</MARKABLE></COREF>']","4.  Where did the <COREF ID=""460"" REF=""421""><MARKABLE>trip</MARKABLE></COREF> start?",""
"/level2/coref/rm2-11.txt.coref","2","5","Why did they make the trip?","['<COREF ID=""462"" REF=""420""><MARKABLE>', '</MARKABLE></COREF>', '<COREF ID=""461"" REF=""421""><MARKABLE>', '</MARKABLE></COREF>']","5.  Why did <COREF ID=""462"" REF=""420""><MARKABLE>they</MARKABLE></COREF> make the <COREF ID=""461"" REF=""421""><MARKABLE>trip</MARKABLE></COREF>?",""
"/level2/coref/rm2-12.txt.coref","2","1","Who is the fastest man in the world?","['<COREF ID=""495"" REF=""463""><MARKABLE>', '</MARKABLE></COREF>']","1.  Who is the fastest <COREF ID=""495"" REF=""463""><MARKABLE>man</MARKABLE></COREF> in the world?",""
"/level2/coref/rm2-12.txt.coref","2","2","What music is played when Jesse wins a gold medal?","['<COREF ID=""496"" REF=""463""><MARKABLE>', '</MARKABLE></COREF>']","2.  What music is played when <COREF ID=""496"" REF=""463""><MARKABLE>Jesse</MARKABLE></COREF> wins a gold medal?",""
"/level2/coref/rm2-12.txt.coref","2","3","When did he begin to train?","['<COREF ID=""497"" REF=""463""><MARKABLE>', '</MARKABLE></COREF>']","3.  When did <COREF ID=""497"" REF=""463""><MARKABLE>he</MARKABLE></COREF> begin to train?",""
"/level2/coref/rm2-12.txt.coref","2","4","Where did he win four medals?","['<COREF ID=""498"" REF=""463""><MARKABLE>', '</MARKABLE></COREF>']","4.  Where did <COREF ID=""498"" REF=""463""><MARKABLE>he</MARKABLE></COREF> win four medals?",""
"/level2/coref/rm2-12.txt.coref","2","5","Why was Jesse's future not bright at one time?","['<COREF ID=""499"" REF=""463""><MARKABLE>', '</MARKABLE></COREF>']","5.  Why was <COREF ID=""499"" REF=""463""><MARKABLE>Jesse</MARKABLE></COREF>'s future not bright at one time?",""
"/level2/coref/rm2-13.txt.coref","2","1","Who swam from the United States to Russia?","['<COREF ID=""542"" REF=""503""><MARKABLE>', '</MARKABLE></COREF>', '<COREF ID=""543"" REF=""501""><MARKABLE>', '</MARKABLE></COREF>']","1. Who swam from the <COREF ID=""542"" REF=""503""><MARKABLE>United States</MARKABLE></COREF> to <COREF ID=""543"" REF=""501""><MARKABLE>Russia</MARKABLE></COREF>?",""
"/level2/coref/rm2-13.txt.coref","2","2","What did Lynne do to get ready for her swim?","['<COREF ID=""544"" REF=""502""><MARKABLE>', '</MARKABLE></COREF>', '<COREF ID=""551"" REF=""502""><MARKABLE>', '</MARKABLE></COREF>']","2. What did <COREF ID=""544"" REF=""502""><MARKABLE>Lynne</MARKABLE></COREF> do to get ready for <COREF ID=""551"" REF=""502""><MARKABLE>her</MARKABLE></COREF> swim?",""
"/level2/coref/rm2-13.txt.coref","2","3","When did Lynne make this swim?","['<COREF ID=""546"" REF=""502""><MARKABLE>', '</MARKABLE></COREF>']","3.  When did <COREF ID=""546"" REF=""502""><MARKABLE>Lynne</MARKABLE></COREF> make this swim?",""
"/level2/coref/rm2-13.txt.coref","2","4","Where did Lynne start her swim?","['<COREF ID=""547"" REF=""502""><MARKABLE>', '</MARKABLE></COREF>', '<COREF ID=""550"" REF=""502""><MARKABLE>', '</MARKABLE></COREF>']","4.  Where did <COREF ID=""547"" REF=""502""><MARKABLE>Lynne</MARKABLE></COREF> start <COREF ID=""550"" REF=""502""><MARKABLE>her</MARKABLE></COREF> swim?",""
"/level2/coref/rm2-13.txt.coref","2","5","Why did her coach go with her?","['<COREF ID=""548"" REF=""502""><MARKABLE>', '</MARKABLE></COREF>', '<COREF ID=""532"" REF=""531""><MARKABLE>', '</MARKABLE></COREF>', '<COREF ID=""549"" REF=""502""><MARKABLE>', '</MARKABLE></COREF>']","5.  Why did <COREF ID=""548"" REF=""502""><MARKABLE>her</MARKABLE></COREF> <COREF ID=""532"" REF=""531""><MARKABLE>coach</MARKABLE></COREF> go with <COREF ID=""549"" REF=""502""><MARKABLE>her</MARKABLE></COREF>?",""
"/level2/coref/rm2-14.txt.coref","2","1","Who reached the top of Mount Everest?","['<COREF ID=""584"" REF=""558""><MARKABLE>', '</MARKABLE></COREF>', '<COREF ID=""581"" REF=""560""><MARKABLE>', '</MARKABLE></COREF>']","1.  Who reached the <COREF ID=""584"" REF=""558""><MARKABLE>top</MARKABLE></COREF> of <COREF ID=""581"" REF=""560""><MARKABLE>Mount Everest</MARKABLE></COREF>?",""
"/level2/coref/rm2-14.txt.coref","2","2","What is another name for a mountain top?","['<COREF ID=""585"" REF=""558""><MARKABLE>', '</MARKABLE></COREF>']","2.	What is another name for a mountain <COREF ID=""585"" REF=""558""><MARKABLE>top</MARKABLE></COREF>?",""
"/level2/coref/rm2-14.txt.coref","2","3","When did the climbers reach the top?","['<COREF ID=""583"" REF=""561""><MARKABLE>', '</MARKABLE></COREF>', '<COREF ID=""586"" REF=""558""><MARKABLE>', '</MARKABLE></COREF>']","3.	When did the <COREF ID=""583"" REF=""561""><MARKABLE>climbers</MARKABLE></COREF> reach the <COREF ID=""586"" REF=""558""><MARKABLE>top</MARKABLE></COREF>?",""
"/level2/coref/rm2-14.txt.coref","2","4","Where is Mount Everest?","['<COREF ID=""582"" REF=""560""><MARKABLE>', '</MARKABLE></COREF>']","4.	Where is <COREF ID=""582"" REF=""560""><MARKABLE>Mount Everest</MARKABLE></COREF>?",""
"/level2/coref/rm2-14.txt.coref","2","5","Why do you think it is so hard to reach the top?","['<COREF ID=""587"" REF=""558""><MARKABLE>', '</MARKABLE></COREF>']","5.	Why do you think it is so hard to reach the <COREF ID=""587"" REF=""558""><MARKABLE>top</MARKABLE></COREF>?",""
"/level2/coref/rm2-15.txt.coref","2","1","Who had a baby at Sea World?","['<COREF ID=""17"" REF=""5""><MARKABLE>', '</MARKABLE></COREF>']","1. Who had a baby at <COREF ID=""17"" REF=""5""><MARKABLE>Sea World</MARKABLE></COREF>?",""
"/level2/coref/rm2-15.txt.coref","2","2","What is the baby's name?","['<COREF ID=""18"" REF=""6""><MARKABLE>', '</MARKABLE></COREF>']","2.  What is the <COREF ID=""18"" REF=""6""><MARKABLE>baby</MARKABLE></COREF>'s name?",""
"/level2/coref/rm2-15.txt.coref","2","3","When was the baby born?","['<COREF ID=""19"" REF=""6""><MARKABLE>', '</MARKABLE></COREF>']","3.  When was the <COREF ID=""19"" REF=""6""><MARKABLE>baby</MARKABLE></COREF> born?",""
"/level2/coref/rm2-15.txt.coref","2","4","Where do these sea animals live?","['<COREF ID=""24"" REF=""10""><MARKABLE>', '</MARKABLE></COREF>']","4.  Where do these sea <COREF ID=""24"" REF=""10""><MARKABLE>animals</MARKABLE></COREF> live?",""
"/level2/coref/rm2-15.txt.coref","2","5","Why is this baby important?","['<COREF ID=""20"" REF=""6""><MARKABLE>', '</MARKABLE></COREF>']","5. Why is this <COREF ID=""20"" REF=""6""><MARKABLE>baby</MARKABLE></COREF> important?",""
"/level2/coref/rm2-16.txt.coref","2","1","Who grabbed a rope and went flying?","['<MARKABLE><COREF ID=""556"" REF=""548"">', '</COREF></MARKABLE>']","1.  Who grabbed a <MARKABLE><COREF ID=""556"" REF=""548"">rope</COREF></MARKABLE> and went flying?",""
"/level2/coref/rm2-16.txt.coref","2","2","What did he go to town to see?","['<MARKABLE><COREF ID=""519"" REF=""503"">', '</COREF></MARKABLE>', '<MARKABLE><COREF ID=""557"" REF=""533"">', '</COREF></MARKABLE>']","2.  What did <MARKABLE><COREF ID=""519"" REF=""503"">he</COREF></MARKABLE> go to <MARKABLE><COREF ID=""557"" REF=""533"">town</COREF></MARKABLE> to see?",""
"/level2/coref/rm2-16.txt.coref","2","3","When did this happen?","['<MARKABLE><COREF ID=""559"" REF=""558"">', '</COREF></MARKABLE>']","3.  When did <MARKABLE><COREF ID=""559"" REF=""558"">this</COREF></MARKABLE> happen?",""
"/level2/coref/rm2-16.txt.coref","2","4","Where were the men eating their lunch?","['<MARKABLE><COREF ID=""555"" REF=""550"">', '</COREF></MARKABLE>', '<MARKABLE><COREF ID=""560"" REF=""550"">', '</COREF></MARKABLE>', '<MARKABLE><COREF ID=""562"" REF=""561"">', '</COREF></MARKABLE>']","4.  Where were the <MARKABLE><COREF ID=""555"" REF=""550"">men</COREF></MARKABLE> eating <MARKABLE><COREF ID=""560"" REF=""550"">their</COREF></MARKABLE> <MARKABLE><COREF ID=""562"" REF=""561"">lunch</COREF></MARKABLE>?",""
"/level2/coref/rm2-16.txt.coref","2","5","Why does a hot air balloon need fire?","['<MARKABLE><COREF ID=""542"" REF=""541"">', '</COREF></MARKABLE>', '<MARKABLE><COREF ID=""540"" REF=""528"">', '</COREF></MARKABLE>', '<MARKABLE><COREF ID=""546"" REF=""543"">', '</COREF></MARKABLE>']","5.  Why does a hot <MARKABLE><COREF ID=""542"" REF=""541"">air</COREF></MARKABLE> <MARKABLE><COREF ID=""540"" REF=""528"">balloon</COREF></MARKABLE> need <MARKABLE><COREF ID=""546"" REF=""543"">fire</COREF></MARKABLE>?",""
"/level2/coref/rm2-17.txt.coref","2","1","Who live in dens underground?","['<MARKABLE><COREF ID=""496"" REF=""493"">', '</COREF></MARKABLE>']","1.  Who live in <MARKABLE><COREF ID=""496"" REF=""493"">dens</COREF></MARKABLE> underground?",""
"/level2/coref/rm2-17.txt.coref","2","2","What is another name for them?","['<MARKABLE>name</MARKABLE>', '<MARKABLE><COREF ID=""489"" REF=""464"">', '</COREF></MARKABLE>']","2.  What is another <MARKABLE>name</MARKABLE> for <MARKABLE><COREF ID=""489"" REF=""464"">them</COREF></MARKABLE>?",""
"/level2/coref/rm2-17.txt.coref","2","3","When is the day to watch the groundhogs?","['<MARKABLE><COREF ID=""497"" REF=""455"">', '</COREF></MARKABLE>', '<MARKABLE><COREF ID=""490"" REF=""464"">', '</COREF></MARKABLE>']","3.  When is the <MARKABLE><COREF ID=""497"" REF=""455"">day</COREF></MARKABLE> to watch the <MARKABLE><COREF ID=""490"" REF=""464"">groundhogs</COREF></MARKABLE>?",""
"/level2/coref/rm2-17.txt.coref","2","4","Where are most of the groundhog homes found?","['<MARKABLE><COREF ID=""491"" REF=""464"">', '</COREF></MARKABLE>', '<MARKABLE><COREF ID=""498"" REF=""493"">', '</COREF></MARKABLE>']","4.  Where are most of the <MARKABLE><COREF ID=""491"" REF=""464"">groundhog</COREF></MARKABLE> <MARKABLE><COREF ID=""498"" REF=""493"">homes</COREF></MARKABLE> found?",""
"/level2/coref/rm2-17.txt.coref","2","5","Why do people watch these animals one day of the year?","['<MARKABLE>people</MARKABLE>', '<MARKABLE><COREF ID=""492"" REF=""464"">', '</COREF></MARKABLE>', '<MARKABLE><COREF ID=""458"" REF=""455"">', '</COREF></MARKABLE>', '<MARKABLE>year</MARKABLE>']","5.  Why do <MARKABLE>people</MARKABLE> watch these <MARKABLE><COREF ID=""492"" REF=""464"">animals</COREF></MARKABLE> one <MARKABLE><COREF ID=""458"" REF=""455"">day</COREF></MARKABLE> of the <MARKABLE>year</MARKABLE>?",""
"/level2/coref/rm2-18.txt.coref","2","1","Who helped the Pilgrims?","['<MARKABLE><COREF ID=""430"" REF=""413"">', '</COREF></MARKABLE>']","1. Who helped the <MARKABLE><COREF ID=""430"" REF=""413"">Pilgrims</COREF></MARKABLE>?",""
"/level2/coref/rm2-18.txt.coref","2","2","What did they eat on the first day of thanks?","['<MARKABLE><COREF ID=""431"" REF=""413"">', '</COREF></MARKABLE>', '<MARKABLE><COREF ID=""399"" REF=""392"">', '</COREF></MARKABLE>', '<MARKABLE><COREF ID=""406"" REF=""401"">', '</COREF></MARKABLE>']","2. What did <MARKABLE><COREF ID=""431"" REF=""413"">they</COREF></MARKABLE> eat on the first <MARKABLE><COREF ID=""399"" REF=""392"">day</COREF></MARKABLE> of <MARKABLE><COREF ID=""406"" REF=""401"">thanks</COREF></MARKABLE>?",""
